,AFP,F2,CEACAM5,TP53,CD8A,ASPM,CCNB1,CDK1,DLGAP5,KIF20A,MT1X,TOP2A,SOCS2,AKR1C3,PTEN,FAM83D,CDC20,AOX1,CYP2E1,LAMC1,UBE4B,HSPH1,HNF1A,SF3B1,APC2,CHST4,HGF,MTHFD2,AGO3,PRC1,UBE2C,NUSAP1,IRF9,PFKFB3,DTX3L,UTP15,ALG5,labels
GSM4043276_HCC004_HTA_2_0.CEL,3.35166534549756,10.1415416626008,4.69679927399275,6.99969669883978,6.13680629787654,4.11010981277395,4.77899872796324,3.26073596538053,3.78103236198439,4.48676044274722,10.1318643589529,4.14878914229364,5.80428668756546,6.59939668536005,7.5998293201256,6.07812804302512,5.88642263122747,10.7574993905406,11.467396171423,7.09405163461344,7.07765258642389,7.05074688818081,6.97964635466538,8.63878459441056,6.25035100509975,5.13479131866573,6.32273395107144,4.85407982965216,6.41985212437058,5.03851422174875,5.75467930628046,4.85876065091075,6.76366522785422,6.65283727120488,7.37612315248406,5.42149062026552,5.79635518305526,cancer
GSM4043277_HCC011_HTA_2_0.CEL,10.1451407679149,9.4234819881889,4.21327016134979,6.65093845505965,6.49570753696463,7.79633085027869,6.65926725637567,5.25814719870037,6.17633415899608,6.40712939138256,8.34137852684721,7.52365841134268,5.45768574901405,7.56108290185577,7.76530627603461,6.50427037058272,6.35539548367763,7.41725213024001,11.0462553322379,8.39364327371621,6.58290531452321,7.03194956356926,6.91325696579441,8.53970976581918,6.04929961062939,4.9108494574993,4.71206501413089,6.37674690328185,6.34717601181271,7.15308156872727,6.46516095358403,7.58789181911398,7.13817382606245,7.09819686197791,8.48216168263057,5.54514357611123,5.74730064127643,cancer
GSM4043278_HCC013_HTA_2_0.CEL,8.57256468655445,9.75212083148818,4.37365961109432,7.20683536149122,6.02192830371894,7.11744328234555,6.20711177199387,4.65726877848612,5.34312675577057,5.97988817599588,6.46323025816191,7.19419398019799,5.70589488838036,7.71709258935767,7.6422592879575,6.34465043322373,6.5986874256434,9.7623369190314,11.3847860705038,9.38094889910758,5.11027533218919,6.98439275024897,7.09285579484237,8.84297124464557,6.21762903374453,5.0098068180905,4.95755364082484,5.38186957522632,6.2802485827254,6.80773338917281,6.37154280840198,6.74756427262594,7.10342004436163,6.56989202746982,7.32037533286487,5.53653235284381,5.56062285930444,cancer
GSM4043279_HCC015_HTA_2_0.CEL,6.1988323600252,9.95074560123552,4.3355826985258,7.57871399913567,6.02786758180032,5.90512081487173,5.0521326340668,3.85474186091548,4.28399663010607,4.94279102449468,9.03657285651555,5.28347440237693,5.96830520362511,7.13319303443165,7.75376974707242,5.4276774576301,5.95370411646734,9.4385068426325,10.4662733330686,8.02042318824658,6.6586441869023,7.30741700351562,6.88493858921789,8.71193074260838,5.94640834901746,4.96175117395426,5.80635453267716,5.35554015977407,6.57847347453437,5.9333800328874,5.96753376381279,6.28142937690046,6.76275325133679,7.91158723955109,8.18409456837644,5.92416329685433,6.17977624640811,cancer
GSM4043280_HCC016_HTA_2_0.CEL,3.36613097714893,9.83894617543816,4.56138075048429,7.25074906489037,6.43350922179328,4.90164505795984,5.07097325028363,3.63100819726936,4.39641740067021,4.91759150202765,9.58130101595649,5.28666748737401,6.29222148326203,7.44933250062768,7.68003738309634,5.70374719779429,6.09376913350355,10.2214657438796,11.3945736819277,7.3841517102565,7.1870313698536,7.12886516922371,6.75414955842647,8.70440709746322,6.17417646919708,5.200598853509,5.91316584291476,5.30551559334338,6.60813266411702,5.56439087666576,5.94262710483616,5.76177796111587,6.79794977395416,7.51621503276695,7.65981146071979,5.2869947031796,5.72788010404022,cancer
GSM4043281_HCC025_HTA_2_0.CEL,7.10954109958332,10.030975295366,4.50297668645033,7.38792178615476,6.13277614377907,5.7288646019796,5.22082222767441,3.93880388067411,4.55694441524848,5.1187295834999,6.22477131688198,5.64674472616414,5.71057067909942,7.55701608090138,7.77380560923175,6.27397622507053,5.83102095193752,9.43145678014368,11.5960089796376,8.65946244873619,6.88338612174911,7.73547976072755,6.92025590132952,8.62281701168286,5.93184764537128,4.93856743275039,5.99619841379555,5.07732095601048,6.24445390891075,6.16820491683138,5.94155804481367,6.2575991907457,7.1121154784179,7.12446810792803,8.36822260527929,5.82267515740976,5.77059829989252,cancer
GSM4043282_HCC026_HTA_2_0.CEL,11.2062555479737,10.0607622534345,4.30528435756444,7.68264767047845,6.05248797662565,6.14464953435091,6.17335094446382,4.67263257220056,5.82661131267255,6.00900720643912,8.97459343746217,6.81086148583407,5.65967046361043,8.61463570689797,7.15316504165617,6.12031017681705,6.38401875955203,6.95654696372183,10.9585792215356,7.73171206237179,6.67532155820568,7.85254544599754,7.24445947514068,8.59766611440001,6.17351197995834,4.9009385077314,3.89346172754173,5.922679409267,6.56585701669447,6.32683037828065,6.24302293108116,6.94255154346425,6.76959897476629,6.79595131717876,7.1690428868904,5.77541631668409,6.45223798715775,cancer
GSM4043283_HCC034_HTA_2_0.CEL,2.9501835089584,8.78094032769135,4.61216660713213,6.91829409158722,6.46031166165157,3.54097394333963,4.84344448793704,3.50228008913539,3.88909471343776,4.58555835026102,10.7492804161566,4.42254453429231,6.21886128061329,7.43280981577884,7.49405555369769,5.72622670143805,5.8071870492288,9.88425099308111,9.48517212033467,7.28682802172293,7.07669176028419,7.32467450678044,6.90914719304516,8.33470031665214,6.42107087185245,5.5256049241595,5.51226300921566,5.25849123373171,6.13873418636972,5.26892493305076,5.98573790301456,4.98808516787811,6.61940166917638,7.0392566561682,6.99513268967946,5.17350462888603,6.00951342017727,cancer
GSM4043284_HCC047_HTA_2_0.CEL,3.63140382372484,9.81276262272916,4.41936809455865,7.3282144089485,6.0746418502932,5.6519544504344,5.16530415069458,3.73445663870602,4.76776671106847,5.04726038629955,8.29410895252568,5.85802761253484,5.90224359755768,8.73384610449069,7.38674278529453,6.29205035544205,6.14883027463766,10.6816762365663,11.5031120127206,7.70195693035695,7.19307885789951,7.33264218520774,6.99257772992378,8.626166698951,6.13800635172981,4.77633961361861,5.8159320236376,5.00679926606391,6.52507078690533,6.39845280018965,5.98858151343096,6.76750683028191,6.89853654853609,7.36462771964847,7.67065210237768,5.4039102418246,5.94819530441591,cancer
GSM4043285_HCC054_HTA_2_0.CEL,6.81356356038711,9.04513985306354,4.52688896008538,7.89086680694756,5.92818208119882,7.13510044524816,5.49049555098673,4.44575788693107,5.18658980222407,5.44768921177902,7.19567517781956,6.3383003711959,5.61643445856526,8.04822346156606,7.55714555633542,6.52451474500226,6.15744837756726,9.17938569317364,9.93453172818531,8.89327344321185,6.53869179724315,8.94347822985326,6.92387389678444,8.99503768010183,6.07784039314099,4.87684101293381,4.86902422173749,4.99728964647052,6.26924206462698,6.42434973719966,6.16584923215449,6.38811757090623,6.90367485667852,6.83571590454066,7.72371683544689,5.68437930604875,6.32303181039097,cancer
